Loan_amount,Income,Term,Loan_purpose
376500,137760,360,Education
476500,136800,360,Education
546500,136680,360,Personal
476500,131940,360,Mortgage
2146500,127920,180,Personal
486500,126300,180,Mortgage
936500,124980,360,Mortgage
726500,121620,360,Mortgage
246500,120960,180,Personal
1386500,116340,360,Education
116500,114900,180,Mortgage
356500,114000,360,Education
386500,109200,360,Personal
256500,109080,180,Mortgage
486500,105660,360,Education
326500,98400,360,Education
556500,98220,180,Mortgage
606500,97200,360,Mortgage
486500,95820,360,Mortgage
646500,94260,360,Education
316500,93720,360,Education
656500,93540,360,Mortgage
486500,90780,360,Personal
676500,90540,324,Education
456500,88680,360,Personal
2506500,88440,360,Education
1316500,87720,360,Personal
2106500,86340,180,Education
446500,86040,360,Personal
2006500,84420,360,Mortgage
2476500,84000,360,Mortgage
406500,82380,360,Personal
1956500,82320,360,Mortgage
446500,81180,180,Education
376500,79920,300,Personal
1006500,79500,360,Mortgage
456500,79200,180,Mortgage
2186500,79140,360,Education
706500,78120,360,Education
456500,78120,180,Education
1336500,77760,360,Education
626500,77340,360,Personal
566500,76920,360,Education
506500,76380,360,Mortgage
386500,76080,360,Mortgage
1436500,75420,360,Personal
1186500,75240,360,Education
206500,74400,180,Education
1006500,73440,360,Mortgage
606500,73020,360,Mortgage
726500,72600,360,Mortgage
506500,72540,360,Education
176500,72180,360,Mortgage
1366500,72060,360,Mortgage
676500,71700,360,Investment
446500,71520,360,Personal
686500,71340,360,Education
556500,71220,360,Mortgage
556500,71160,360,Education
286500,70740,180,Education
446500,70560,360,Education
456500,69360,180,Personal
846500,69060,360,Education
256500,68940,360,Education
1726500,68400,360,Personal
1676500,68220,300,Mortgage
1616500,68220,360,Personal
726500,67860,180,Personal
556500,67860,360,Mortgage
406500,67800,360,Personal
1926500,67680,360,Mortgage
1056500,67560,360,Mortgage
106500,67020,360,Personal
1716500,66480,360,Mortgage
426500,66480,360,Personal
446500,65280,360,Personal
416500,64380,180,Mortgage
336500,64380,360,Education
1826500,64140,180,Mortgage
806500,63120,360,Investment
486500,62940,180,Education
406500,62940,180,Personal
2206500,62820,360,Mortgage
1266500,62400,360,Mortgage
726500,62400,180,Personal
2086500,61980,360,Mortgage
1486500,61380,180,Personal
706500,61260,360,Mortgage
726500,60420,240,Mortgage
1336500,60240,360,Education
186500,59940,360,Mortgage
146500,59580,360,Personal
256500,59520,180,Personal
626500,59460,360,Mortgage
1896500,59220,360,Mortgage
1636500,59220,360,Mortgage
406500,59220,360,Mortgage
276500,58800,360,Personal
706500,58620,300,Mortgage
726500,58260,180,Mortgage
716500,58200,180,Mortgage
766500,58140,180,Personal
1006500,58080,360,Personal
326500,57660,360,Education
1756500,57600,360,Mortgage
1466500,57300,360,Mortgage
656500,57300,180,Education
556500,57300,180,Education
1106500,56940,360,Personal
566500,56820,360,Personal
496500,56820,360,Mortgage
806500,56580,360,Personal
316500,56400,360,Education
596500,56340,360,Education
486500,56280,180,Education
256500,56280,360,Personal
316500,55860,360,Personal
486500,55800,180,Education
556500,55380,360,Mortgage
536500,55380,240,Mortgage
576500,55140,360,Mortgage
396500,55140,360,Mortgage
596500,54900,360,Education
2396500,54780,360,Mortgage
966500,54720,360,Personal
476500,54660,180,Education
646500,54360,360,Education
1376500,54300,360,Personal
366500,54240,360,Education
906500,54120,360,Mortgage
756500,54000,180,Investment
306500,53940,360,Mortgage
886500,53880,360,Mortgage
316500,53520,360,Personal
386500,53460,360,Mortgage
246500,53280,360,Personal
736500,53160,360,Mortgage
966500,52860,180,Mortgage
466500,52800,120,Mortgage
726500,52680,360,Education
646500,52500,360,Education
1186500,52440,360,Mortgage
556500,52440,360,Education
156500,52380,360,Mortgage
486500,52200,360,Personal
436500,52140,360,Education
376500,52080,360,Mortgage
196500,52080,360,Mortgage
296500,51960,240,Education
606500,51900,360,Mortgage
576500,51780,180,Personal
556500,51540,180,Personal
406500,51540,360,Mortgage
626500,51480,360,Personal
696500,51420,360,Mortgage
166500,51420,360,Education
416500,51300,180,Education
236500,51120,360,Personal
1006500,51000,360,Education
206500,51000,360,Mortgage
956500,50700,180,Education
726500,50580,180,Mortgage
1696500,50460,360,Mortgage
486500,50340,324,Education
126500,50280,180,Personal
626500,50160,360,Personal
456500,49920,360,Education
406500,49800,360,Mortgage
286500,49800,360,Personal
666500,49740,360,Education
726500,49680,240,Investment
456500,49680,180,Mortgage
586500,49500,360,Mortgage
486500,49500,360,Education
406500,49500,180,Education
1006500,49320,360,Personal
556500,49200,360,Mortgage
1186500,49080,360,Mortgage
726500,49080,360,Personal
276500,48960,360,Investment
376500,48840,360,Education
406500,48660,360,Education
406500,48600,360,Personal
366500,48300,360,Mortgage
676500,48180,360,Mortgage
406500,48000,360,Education
276500,47760,180,Mortgage
366500,47700,360,Education
166500,47280,360,Education
166500,47280,360,Education
1486500,47160,360,Personal
466500,47100,360,Education
586500,47040,360,Education
106500,47040,360,Personal
296500,46920,180,Education
436500,46860,360,Personal
286500,46800,180,Education
936500,46740,360,Mortgage
356500,46740,180,Personal
1016500,46620,360,Education
1006500,46620,360,Mortgage
166500,46560,360,Personal
1386500,46500,360,Mortgage
466500,46080,360,Personal
516500,45960,360,Personal
466500,45900,360,Mortgage
296500,45600,180,Mortgage
726500,45360,300,Personal
486500,45360,360,Personal
306500,45360,180,Investment
426500,45300,180,Mortgage
376500,45240,360,Education
386500,45120,360,Education
2006500,45000,360,Education
826500,45000,360,Personal
286500,45000,360,Mortgage
496500,44940,180,Mortgage
576500,44580,360,Mortgage
1026500,44340,360,Mortgage
276500,44220,360,Mortgage
576500,44160,180,Mortgage
716500,43980,360,Mortgage
486500,43980,360,Mortgage
546500,43860,360,Education
436500,43560,240,Mortgage
366500,43560,180,Mortgage
1426500,43500,360,Personal
656500,43500,360,Personal
506500,43500,360,Mortgage
486500,43500,360,Personal
246500,43500,360,Education
226500,43440,360,Personal
1476500,43320,360,Education
1006500,43260,324,Mortgage
536500,43260,180,Mortgage
466500,43200,360,Education
636500,43140,360,Education
476500,43140,360,Education
796500,43080,360,Personal
726500,43080,360,Mortgage
586500,43020,360,Mortgage
1106500,42960,360,Education
336500,42900,360,Education
726500,42780,180,Mortgage
1226500,42720,360,Mortgage
306500,42720,360,Mortgage
2056500,42660,360,Education
726500,42600,360,Education
546500,42600,180,Education
2006500,42480,360,Mortgage
436500,42480,240,Mortgage
1646500,42360,360,Mortgage
806500,42360,180,Education
1186500,42300,360,Mortgage
526500,42300,360,Mortgage
1576500,42240,360,Mortgage
866500,42180,240,Mortgage
1136500,42120,360,Personal
2146500,42060,360,Personal
2126500,42060,360,Mortgage
776500,42000,360,Mortgage
306500,42000,180,Personal
