Loan_amount,Income,Term
116500,1740,360
206500,4980,360
136500,4020,300
206500,3780,360
76500,2220,360
356500,5340,360
156500,3120,360
306500,2880,360
476500,6780,360
256500,3780,180
396500,7560,360
466500,0,360
236500,3120,360
866500,13620,360
136500,3360,360
166500,4560,360
86500,3300,360
116500,4140,180
166500,2100,360
636500,12000,360
146500,2400,360
326500,5400,240
656500,8160,360
506500,9180,360
186500,5640,360
336500,7440,360
286500,0,360
186500,5700,360
346500,0,360
226500,3120,360
496500,6060,360
106500,5220,180
126500,4800,324
216500,4440,360
226500,6600,360
196500,5580,360
1376500,54300,360
566500,8580,360
686500,0,360
556500,25680,240
656500,8640,360
156500,2520,180
636500,11640,360
116500,2640,360
86500,3240,360
376500,0,360
106500,1500,360
156500,1860,360
456500,78120,180
76500,3180,360
116500,1980,360
136500,18420,180
206500,2940,360
306500,6840,360
706500,15840,180
366500,0,360
106500,1680,240
316500,8220,300
406500,7560,360
196500,7500,360
266500,1380,360
56500,2220,180
546500,10440,360
476500,6480,360
586500,8220,360
316500,5640,360
356500,5100,360
266500,2700,360
276500,4680,360
286500,9660,360
146500,4620,180
86500,2220,360
266500,8880,360
196500,0,324
206500,2580,360
106500,8100,360
126500,3000,360
66500,1860,360
476500,9180,360
426500,9360,300
336500,3660,360
156500,4860,360
266500,3840,360
186500,3180,360
636500,0,360
286500,4140,360
336500,7200,360
286500,5040,360
726500,9660,360
256500,6720,360
396500,5040,300
236500,3240,360
236500,5280,360
216500,3840,360
606500,7440,360
246500,8040,360
266500,3060,360
456500,9300,192
116500,2520,360
206500,5160,360
556500,5820,360
486500,8700,180
266500,3120,360
796500,8880,360
196500,1620,360
536500,6000,360
336500,5100,360
446500,11400,324
106500,2580,360
96500,1680,360
156500,10200,360
156500,7440,156
326500,8640,360
86500,1980,228
206500,3420,360
156500,7200,360
266500,11160,180
136500,3780,180
516500,0,360
876500,19800,360
206500,2280,360
306500,5040,360
486500,12660,360
516500,0,360
216500,4740,360
406500,3780,240
266500,3540,360
226500,2220,360
86500,4860,180
116500,1860,360
126500,1740,300
356500,0,360
106500,3000,180
496500,12360,360
526500,10500,300
566500,5340,360
406500,7800,240
446500,4320,360
576500,4680,360
256500,3120,360
176500,9420,360
726500,14160,360
266500,0,360
366500,0,300
396500,21000,360
356500,4320,360
166500,5760,144
156500,3960,360
486500,8760,360
286500,4620,360
716500,7860,360
186500,5820,360
386500,6300,360
226500,4920,324
296500,10080,300
206500,11640,180
376500,13080,360
276500,3840,240
166500,0,360
196500,6120,180
216500,0,360
456500,0,360
136500,0,360
366500,3900,360
236500,3900,360
236500,3180,360
256500,5880,360
156500,1920,360
296500,4560,360
306500,4800,360
136500,3240,360
556500,9900,360
256500,6300,240
226500,3240,360
116500,4740,300
156500,7200,360
186500,4440,180
326500,15780,360
366500,4200,324
116500,1980,180
606500,14220,360
146500,1620,360
226500,5100,300
216500,10080,240
386500,4680,360
266500,2340,360
216500,2220,360
346500,0,360
126500,0,324
176500,3420,360
1506500,39300,360
456500,5340,300
116500,1500,360
126500,3180,360
886500,14580,360
96500,5100,360
166500,1740,360
316500,0,360
326500,8580,360
226500,5400,360
726500,8760,240
306500,3480,360
256500,4440,360
556500,11820,360
86500,2280,300
406500,11760,360
356500,7020,360
386500,4440,240
346500,8220,360
146500,3000,360
116500,2280,360
376500,6540,360
156500,1440,180
116500,1140,360
486500,4740,360
426500,5340,360
346500,3780,360
336500,2640,360
256500,3120,360
236500,2220,360
486500,6720,324
146500,4680,360
146500,4020,360
236500,2460,360
446500,7980,360
276500,10380,312
376500,6000,360
146500,5340,300
146500,2220,180
306500,0,360
86500,6960,360
296500,3360,360
336500,3600,360
166500,4320,360
186500,4980,360
156500,4140,180
196500,2520,360
106500,1920,360
636500,6960,360
76500,1440,360
286500,6240,360
146500,3840,360
166500,4380,180
156500,3840,360
186500,1560,360
206500,7740,240
316500,8940,360
496500,5340,360
306500,0,360
476500,7800,360
416500,11340,300
256500,0,360
446500,3300,360
626500,14820,360
276500,11640,360
426500,8220,360
146500,3540,360
136500,2160,180
326500,13380,360
516500,0,360
366500,2220,360
116500,1500,360
776500,14760,360
106500,3060,360
196500,7860,360
156500,4380,360
266500,0,360
396500,8640,360
116500,2040,360
116500,4680,144
496500,4920,360
266500,2940,360
476500,0,360
486500,7980,360
276500,5700,300
126500,1440,360
266500,6720,300
176500,3000,360
246500,3420,360
236500,4920,360
446500,5640,360
76500,2400,180
366500,4200,360
456500,5700,360
76500,2280,360
146500,2760,360
406500,17940,360
596500,8460,360
286500,3300,300
356500,6180,360
486500,7320,180
106500,1320,360
176500,7140,360
86500,2400,360
326500,2820,360
176500,0,324
176500,4620,360
126500,3660,180
126500,3000,360
246500,6900,360
586500,8100,360
126500,13680,120
186500,2760,360
106500,3420,180
216500,3600,360
166500,3420,360
386500,14160,360
106500,1740,360
116500,7320,360
156500,2220,360
346500,0,324
606500,20280,360
416500,8700,360
396500,6840,360
636500,7320,360
216500,2160,180
276500,0,360
626500,6180,360
146500,2520,180
216500,3900,180
316500,26400,360
166500,2820,360
306500,420,360
236500,5940,360
136500,1920,360
226500,3900,360
266500,6600,240
146500,4860,300
276500,3600,360
96500,2040,360
206500,6000,360
256500,3060,360
476500,6060,360
126500,2220,180
236500,2940,360
406500,8100,240
416500,5100,360
486500,10320,300
366500,5220,360
196500,3600,360
346500,8880,360
166500,5280,360
546500,5280,360
836500,0,360
256500,3240,360
276500,7620,180
136500,4260,300
106500,1620,360
376500,5100,360
476500,7980,360
356500,7500,360
566500,22680,360
276500,3300,360
126500,960,360
486500,23580,360
336500,3780,360
116500,2460,180
146500,2400,360
306500,3720,360
336500,4860,180
246500,6480,360
216500,0,360
286500,8640,360
116500,1800,360
406500,7380,360
186500,5760,360
226500,3360,360
226500,5340,360
806500,9120,360
496500,6600,360
76500,1260,360
236500,5460,360
86500,3300,360
196500,2700,360
116500,2340,360
306500,0,360
96500,1500,240
556500,6960,360
346500,6000,360
396500,4500,360
136500,15000,360
156500,2820,360
686500,6540,300
166500,6000,360
426500,18000,360
346500,3000,360
866500,12240,360
156500,4620,300
176500,2460,360
126500,1860,360
176500,8460,360
186500,2760,156
206500,3360,360
676500,9000,360
276500,7800,360
136500,3000,180
76500,840,360
296500,2280,360
186500,7680,360
696500,11640,360
306500,12240,360
336500,8160,360
436500,4680,360
256500,2940,360
206500,1920,360
296500,4800,360
126500,3240,360
286500,3000,360
